id,symbol,name,categories,circulation_supply,total_supply,market_cap_rank,exchange,crypto_pair(usd)
0x,zrx,0x Protocol,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Avalanche Ecosystem', 'Harmony Ecosystem', 'Ethereum Ecosystem', 'Coinbase Ventures Portfolio', 'Pantera Capital Portfolio', 'Energi Ecosystem', 'GMCI DeFi Index', 'Blockchain Capital Portfolio', 'GMCI Index', 'Made in USA']",848396562.906836,1000000000.0,257,WhiteBIT,ZRX/USDT
0x0-ai-ai-smart-contract,0x0,0x0.ai: AI Smart Contract,"['Artificial Intelligence (AI)', 'Ethereum Ecosystem']",891250000.0,891250000.0,452,Bitget,0X0/USDT
1guy,1guy,1GUY,"['BNB Chain Ecosystem', 'Meme']",1000000000.0,1000000000.0,1710,,/
1inch,1inch,1inch,"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'Automated Market Maker (AMM)', 'BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Harmony Ecosystem', 'Ethereum Ecosystem', 'FTX Holdings', 'Alameda Research Portfolio', 'DragonFly Capital Portfolio', 'Pantera Capital Portfolio', 'Energi Ecosystem', 'YZi Labs (Prev. Binance Labs) Portfolio', 'GMCI DeFi Index', 'Galaxy Digital Portfolio', 'Blockchain Capital Portfolio', 'Dex Aggregator', 'GMCI Index', 'Coinbase 50 Index']",1385031115.638985,1499999999.997,216,Gate.io,1INCH/USDT
aag-ventures,aag,AAG,"['Harmony Ecosystem', 'Ethereum Ecosystem']",590404743.156914,1000000000.0,1578,XeggeX,AAG/USDT
aave,aave,Aave,"['Decentralized Finance (DeFi)', 'Yield Farming', 'BNB Chain Ecosystem', 'Lending/Borrowing Protocols', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Fantom Ecosystem', 'Harmony Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Base Ecosystem', 'Index Coop Defi Index', 'Energi Ecosystem', 'Sora Ecosystem', 'Huobi ECO Chain Ecosystem', 'GMCI DeFi Index', 'Blockchain Capital Portfolio', 'Index Coop Index', 'GMCI Index', 'World Liberty Financial Portfolio', 'Coinbase 50 Index']",15097188.15895175,16000000.0,51,Binance,AAVE/USDT
aavegotchi,ghst,Aavegotchi,"['Smart Contract Platform', 'Gaming (GameFi)', 'NFT', 'Metaverse', 'Collectibles', 'Polygon Ecosystem', 'Meme', 'Play To Earn', 'Ethereum Ecosystem', 'Gotchiverse', 'Base Ecosystem', 'Layer 3 (L3)', 'RPG', 'Gaming Governance Token', 'Gaming Utility Token', 'Energi Ecosystem']",51157239.2140685,52747802.71425598,905,MEXC,GHST/USDT
abelian,abel,Abelian,[],117336717.0,225179981.0,1592,MEXC,ABEL/USDT
abster,abster,Abster,"['Meme', 'Abstract Ecosystem']",990486747.5651047,990486747.5651047,1269,Uniswap V2 (Abstract),0XC325B7E2736A5202BD860F5974D0AA375E57EDE5/0X3439153EB7AF838AD19D56E1571FBD09333C2809
access-protocol,acs,Access Protocol,"['SocialFi', 'Solana Ecosystem']",40944883788.33702,88585009253.20148,612,BitMart,ACS/USDT
acala,aca,Acala,"['Smart Contract Platform', 'Decentralized Finance (DeFi)', 'Polkadot Ecosystem', 'Layer 1 (L1)', 'Coinbase Ventures Portfolio', 'Pantera Capital Portfolio']",1166666660.0,1600000000.0,701,Binance,ACA/USDT
acet-token,act,Acet,['BNB Chain Ecosystem'],1709870215.734518,2230764830.365691,332,PancakeSwap (v2),0X9F3BCBE48E8B754F331DFC694A894E8E686AC31D/0XE9E7CEA3DEDCA5984780BAFC599BD69ADD087D56
abtc,abtc,aBTC,"['Decentralized Finance (DeFi)', 'Aptos Ecosystem']",2520.0217984362,2520.0217984362,247,Cellana Finance,0X4E1854F6D332C9525E258FB6E66F84B6AF8ABA687BBCB832A24768C4E175FEEC::ABTC::ABTC/0X1::APTOS_COIN::APTOSCOIN
across-protocol,acx,Across Protocol,"['Polygon Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Bridge Governance Tokens', 'Cross-chain Communication', 'Intent', 'Boba Network Ecosystem', 'Blockchain Capital Portfolio', 'Made in USA']",407413286.5903388,1000000000.0,435,Gate.io,ACX/USDT
ac-milan-fan-token,acm,AC Milan Fan Token,"['Sports', 'Fan Token', 'Binance Launchpad', 'Chiliz Ecosystem']",7309651.0,19920000.0,1738,MEXC,ACM/USDT
act-i-the-ai-prophecy,act,Act I The AI Prophecy,"['Solana Ecosystem', 'Meme', 'Solana Meme', 'AI Meme', 'Pump.fun Ecosystem']",948245396.161463,948245396.161463,591,Binance,ACT/USDT
adappter-token,adp,Adappter,"['Ethereum Ecosystem', 'DWF Labs Portfolio']",4134832902.0,10000000000.0,1644,Bithumb,ADP/KRW
adex,adx,AdEx,"['Media', 'Marketing', 'BNB Chain Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem']",147900000.0,150000000.0,1233,KuCoin,ADX/USDT
adrena,adx,Adrena,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Derivatives', 'Perpetuals', 'Solana Ecosystem']",216856910.619977,223993952.619977,1756,Raydium,AUQAUSTGIAQXRVJ2GTCDRD22PBZTN8KM3KEPEKZCTUDW/SO11111111111111111111111111111111111111112
adshares,ads,Adshares,"['Business Services', 'Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Metaverse', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem']",38738852.06316,38758203.0,1040,BitMart,ADS/USDT
advertise-coin,adco,Advertise Coin,['Ethereum Ecosystem'],45000000.0,50000000.0,1065,Tokpie,ADCO/ETH
adventure-gold,agld,Adventure Gold,"['Ethereum Ecosystem', 'DWF Labs Portfolio']",92810001.0,92810001.0,488,OKX,AGLD/USDT
aerobud,aerobud,AEROBUD,"['Charity', 'Meme', 'Base Ecosystem', 'Dog-Themed', 'Base Meme', 'Made in USA']",1000000000.0,1000000000.0,1721,BitMart,AEROBUD/USDT
aerodrome-finance,aero,Aerodrome Finance,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Automated Market Maker (AMM)', 'Base Ecosystem', 'Binance Alpha Spotlight', 'Made in USA']",808484825.4170504,1570063514.178677,206,Gate.io,AERO/USDT
aegis-yusd,yusd,Aegis YUSD,"['Stablecoins', 'USD Stablecoin', 'BNB Chain Ecosystem', 'Ethereum Ecosystem', 'Crypto-backed Stablecoin', 'Fiat-backed Stablecoin']",10189839.94162057,10189839.94162057,1429,Uniswap V3 (Ethereum),0X4274CD7277C7BB0806BD5FE84B9ADAE466A8DA0A/0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2
aelf,elf,aelf,"['Infrastructure', 'Smart Contract Platform', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'GMCI Layer 1 Index', 'Aelf Ecosystem', 'GMCI Index']",739430351.7633314,996446850.5416414,268,Binance,ELF/USDT
aergo,aergo,Aergo,"['Smart Contract Platform', 'Ethereum Ecosystem', 'Sequoia Capital Portfolio']",472499995.7689212,500000000.0,942,OKX,AERGO/USDT
aeternity,ae,Aeternity,"['Infrastructure', 'Smart Contract Platform']",432515650.49932,536306702.0,1619,Gate.io,AE/USDT
aethir,ath,Aethir,"['Solana Ecosystem', 'Arbitrum Ecosystem', 'Impossible Finance Launchpad', 'Ethereum Ecosystem', 'DePIN', 'Animoca Brands Portfolio']",7899322677.0,42000000000.0,228,Gate.io,ATH/USDT
aevo-exchange,aevo,Aevo,"['Smart Contract Platform', 'Decentralized Finance (DeFi)', 'Binance Launchpool', 'Derivatives', 'Perpetuals', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'DragonFly Capital Portfolio', 'Pantera Capital Portfolio']",903176281.7663414,1000000000.0,426,Gate.io,AEVO/USDT
