id,symbol,name,categories,circulation_supply,total_supply,market_cap_rank,exchange,target_coin,crypto_pair,in_tv
0x,zrx,0x Protocol,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Avalanche Ecosystem', 'Harmony Ecosystem', 'Ethereum Ecosystem', 'Coinbase Ventures Portfolio', 'Pantera Capital Portfolio', 'Energi Ecosystem', 'GMCI DeFi Index', 'Blockchain Capital Portfolio', 'GMCI Index', 'Made in USA']",848396562.9,1000000000,263,BINANCE,tether,ZRXUSDT,y
0x0-ai-ai-smart-contract,0x0,0x0.ai: AI Smart Contract,"['Artificial Intelligence (AI)', 'Ethereum Ecosystem']",891250000,891250000,560,BITGET,tether,0X0USDT,y
1inch,1inch,1inch,"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'Automated Market Maker (AMM)', 'BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Harmony Ecosystem', 'Ethereum Ecosystem', 'FTX Holdings', 'Alameda Research Portfolio', 'DragonFly Capital Portfolio', 'Pantera Capital Portfolio', 'Energi Ecosystem', 'YZi Labs (Prev. Binance Labs) Portfolio', 'GMCI DeFi Index', 'Galaxy Digital Portfolio', 'Blockchain Capital Portfolio', 'Dex Aggregator', 'GMCI Index', 'Coinbase 50 Index']",1386034681.990192,1500000000,223,BINANCE,tether,1INCHUSDT,y
1guy,1guy,1GUY,"['BNB Chain Ecosystem', 'Meme']",1000000000,1000000000,1811,PancakeSwap V3 (BSC),wbnb,,
360noscope420blazeit,mlg,360noscope420blazeit,"['Solana Ecosystem', 'Meme', 'Solana Meme']",997525828.2,997525828.2,1676,MEXC,tether,MLGUSDT,y
-6,"""　""","""　""","['Solana Ecosystem', 'Meme', 'Solana Meme', 'AI Meme', 'Pump.fun Ecosystem']",629521110,629521111,1631,Raydium,wrapped-solana,,
aave,aave,Aave,"['Decentralized Finance (DeFi)', 'Yield Farming', 'BNB Chain Ecosystem', 'Lending/Borrowing Protocols', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Fantom Ecosystem', 'Harmony Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Base Ecosystem', 'Index Coop Defi Index', 'Energi Ecosystem', 'Sora Ecosystem', 'Huobi ECO Chain Ecosystem', 'GMCI DeFi Index', 'Blockchain Capital Portfolio', 'Index Coop Index', 'GMCI Index', 'World Liberty Financial Portfolio', 'Coinbase 50 Index']",15106193.147235231,16000000,50,BINANCE,tether,AAVEUSDT,y
aavegotchi,ghst,Aavegotchi,"['Smart Contract Platform', 'Gaming (GameFi)', 'NFT', 'Metaverse', 'Collectibles', 'Polygon Ecosystem', 'Meme', 'Play To Earn', 'Ethereum Ecosystem', 'Gotchiverse', 'Base Ecosystem', 'Layer 3 (L3)', 'RPG', 'Gaming Governance Token', 'Gaming Utility Token', 'Energi Ecosystem']",51157239.21,52747802.71425598,1004,BINANCE,tether,GHSTUSDT,y
abelian,abel,Abelian,[],119251853,225179981,1793,MEXC,tether,ABELUSDT,y
abster,abster,Abster,"['Meme', 'Abstract Ecosystem']",990486747.5651048,990486747.5651048,1488,Uniswap V2 (Abstract),l2-standard-bridged-weth-abstract,,
acala,aca,Acala,"['Smart Contract Platform', 'Decentralized Finance (DeFi)', 'Polkadot Ecosystem', 'Layer 1 (L1)', 'Coinbase Ventures Portfolio', 'Pantera Capital Portfolio']",1166666660,1600000000,782,BINANCE,tether,ACAUSDT,y
abtc,abtc,aBTC,"['Decentralized Finance (DeFi)', 'Aptos Ecosystem']",2518.505208,2518.505208,255,Cellana Finance,aptos,,
access-protocol,acs,Access Protocol,"['SocialFi', 'Solana Ecosystem']",41177251536.92301,88646300656.61948,621,Coinbase Exchange,,,
acolyte-by-virtuals,acolyt,Acolyt,"['Solana Ecosystem', 'Base Ecosystem', 'AI Agents', 'Virtuals Protocol Ecosystem']",998472897.8895664,998472897.8895664,1320,Uniswap V2 (Base),virtual-protocol,,
acet-token,act,Acet,['BNB Chain Ecosystem'],1709870215.734518,2230764830.365691,583,BINANCE,tether,ACTBUSD,
ac-milan-fan-token,acm,AC Milan Fan Token,"['Sports', 'Fan Token', 'Binance Launchpad', 'Chiliz Ecosystem']",7559651,19920000,1802,BINANCE,tether,ACMUSDT,y
across-protocol,acx,Across Protocol,"['Polygon Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Bridge Governance Tokens', 'Cross-chain Communication', 'Intent', 'Boba Network Ecosystem', 'Blockchain Capital Portfolio', 'Made in USA']",415964763.2164131,1000000000,475,BINANCE,tether,ACXUSDT,y
act-i-the-ai-prophecy,act,Act I The AI Prophecy,"['Solana Ecosystem', 'Meme', 'Solana Meme', 'AI Meme', 'Pump.fun Ecosystem']",948245212,948245212,683,BINANCE,tether,ACTUSDT,y
adappter-token,adp,Adappter,"['Ethereum Ecosystem', 'DWF Labs Portfolio']",4134832902,10000000000,1680,HUOBI,tether,ADPUSDT,y
adex,adx,AdEx,"['Media', 'Marketing', 'BNB Chain Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem']",147900000,150000000,1325,BINANCE,tether,ADXUSDT,y
adrena,adx,Adrena,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Derivatives', 'Perpetuals', 'Solana Ecosystem']",248914586.6,256051628.6,1923,Raydium,wrapped-solana,,
adshares,ads,Adshares,"['Business Services', 'Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Metaverse', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem']",38735167.73,38758203,1132,MEXC,tether,ADSUSDT,y
adventure-gold,agld,Adventure Gold,"['Ethereum Ecosystem', 'DWF Labs Portfolio']",92810001,92810001,491,UPBIT,,,
aelf,elf,aelf,"['Infrastructure', 'Smart Contract Platform', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'GMCI Layer 1 Index', 'Aelf Ecosystem', 'GMCI Index']",739654265.2868464,996446802.9401563,308,MEXC,tether,ELFUSDT,y
aerobud,aerobud,AEROBUD,"['Charity', 'Meme', 'Base Ecosystem', 'Dog-Themed', 'Base Meme', 'Made in USA']",1000000000,1000000000,1603,MEXC,tether,AEROBUDUSDT,y
aerodrome-finance,aero,Aerodrome Finance,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Automated Market Maker (AMM)', 'Base Ecosystem', 'Binance Alpha Spotlight', 'Made in USA']",807293087.1370465,1597035665.853575,149,MEXC,tether,AEROUSDT,y
aegis-yusd,yusd,Aegis YUSD,"['Stablecoins', 'USD Stablecoin', 'BNB Chain Ecosystem', 'Ethereum Ecosystem', 'Crypto-backed Stablecoin', 'Fiat-backed Stablecoin']",19094026.25848293,19094026.25848293,1164,Uniswap V4 (BSC),binance-bridged-usdt-bnb-smart-chain,,
aeternity,ae,Aeternity,"['Infrastructure', 'Smart Contract Platform']",433099207.5,536306702,1767,MEXC,tether,AEUSDT,y
advertise-coin,adco,Advertise Coin,['Ethereum Ecosystem'],45000000,50000000,1196,Tokpie,ethereum,,
aergo,aergo,Aergo,"['Smart Contract Platform', 'Ethereum Ecosystem', 'Sequoia Capital Portfolio']",472499995.7689212,500000000,507,UPBIT,,,
aethir,ath,Aethir,"['Solana Ecosystem', 'Arbitrum Ecosystem', 'Impossible Finance Launchpad', 'Ethereum Ecosystem', 'DePIN', 'Animoca Brands Portfolio']",8479398819,42000000000,244,MEXC,tether,ATHUSDT,y
